220,914
798,932
1452,930
2489,1049
2957,957
3571,908
3585,913
3597,934
3603,944
3747,964
3748,930
4202,991
4207,959
4622,931
4806,918
5631,1002
6120,957
9305,950
12190,973
16451,920
16477,980
20044,932
21096,938
23207,930
23726,950
23846,964
27722,903
28078,1003
28380,973
30664,954
31795,903
33235,929
34808,908
35640,916
36289,1021
36374,926
37698,925
38176,981
39732,928
40232,906
40558,927
41770,1004
42347,997
42589,956
43422,907
43654,918
43723,986
44228,901
44896,955
45027,1056
45061,986
45404,900
45442,1162
45469,905
45630,947
47708,968
48375,916
48457,978
48695,1021
48900,916
50501,957
51230,907
51838,972
56685,929
57149,941
58131,911
63204,916
66783,932
67966,932
68862,913
70176,991
74228,941
75000,903
75292,1005
76524,908
78033,946
78560,903
82371,941
84136,1036
84201,910
84316,1093
84328,924
84423,917
84484,911
85496,912
90559,908
91346,934
91832,1003
92310,917
92550,1071
95373,969
95593,994
100542,965
101246,975
